Baseline 100%T,,Baseline 100%T,,Ti(Salen)(OiPr)2,,Ti(Salen)(OiPr)2 + AgBArF,,Ti(Salen)(OiPr)2 + AgBArF repeat,,Ti(Salen)(OiPr)2 + AgBArF + BIPY,,AgBArF ref,,BIPY ref,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9832764,0.06579710543,799.9832764,0.06579710543,799.9832764,0.001015035086,799.9832764,0.001817887998,799.9832764,0.003065831959,799.9832764,0.02588187158,799.9832764,0.03961488977,799.9832764,0.01860914379,
799.0108032,0.06596309692,799.0108032,0.06596309692,799.0108032,0.001223928994,799.0108032,0.0007113851025,799.0108032,0.002412582515,799.0108032,0.02603260241,799.0108032,0.03911139816,799.0108032,0.01822229289,
798.0032349,0.06582385302,798.0032349,0.06582385302,798.0032349,0.001121714362,798.0032349,0.001337852096,798.0032349,0.001889196923,798.0032349,0.02629475109,798.0032349,0.03886665031,798.0032349,0.01804327033,
796.9951782,0.06503091007,796.9951782,0.06503091007,796.9951782,0.001909268554,796.9951782,0.001909268554,796.9951782,0.003527296009,796.9951782,0.02728836797,796.9951782,0.04052776471,796.9951782,0.01906160079,
795.9868164,0.0651108101,795.9868164,0.0651108101,795.9868164,0.001958931331,795.9868164,0.001624349738,795.9868164,0.003175311023,795.9868164,0.02711110748,795.9868164,0.04013691097,795.9868164,0.01884987205,
795.0127563,0.06581114233,795.0127563,0.06581114233,795.0127563,0.0005915346555,795.0127563,0.0005510993651,795.0127563,0.002429242013,795.0127563,0.02653950267,795.0127563,0.03962444514,795.0127563,0.0180981867,
794.0036011,0.06524898857,794.0036011,0.06524898857,794.0036011,0.001272007823,794.0036011,0.001740847016,794.0036011,0.003228222253,794.0036011,0.02689910866,794.0036011,0.03990194201,794.0036011,0.01872080192,
792.9939575,0.06525091082,792.9939575,0.06525091082,792.9939575,0.002089147922,792.9939575,0.001093556406,792.9939575,0.002981245285,792.9939575,0.02708823979,792.9939575,0.04016408324,792.9939575,0.01908732392,
791.9840088,0.06502649188,791.9840088,0.06502649188,791.9840088,0.001927780919,791.9840088,0.00138960511,791.9840088,0.003281870391,791.9840088,0.02698033117,791.9840088,0.04051537439,791.9840088,0.0189651344,
791.0084229,0.06554338336,791.0084229,0.06554338336,791.0084229,0.0008926625014,791.0084229,0.001217127778,791.0084229,0.002512810053,791.0084229,0.02673186362,791.0084229,0.04002273083,791.0084229,0.01873177476,
789.9976196,0.06522867829,789.9976196,0.06522867829,789.9976196,0.001245787018,789.9976196,0.001237817341,789.9976196,0.002501640702,789.9976196,0.02708655782,789.9976196,0.04071766511,789.9976196,0.01906111464,
788.9863892,0.06488540769,788.9863892,0.06488540769,788.9863892,0.0009995971341,788.9863892,0.001910230494,788.9863892,0.003444758942,788.9863892,0.02719413489,788.9863892,0.04023771361,788.9863892,0.01936550438,
788.0097656,0.06556984037,788.0097656,0.06556984037,788.0097656,0.001323441393,788.0097656,0.001488376176,788.0097656,0.002513434971,788.0097656,0.02675220743,788.0097656,0.0397403948,788.0097656,0.01797055453,
786.9977417,0.06482905895,786.9977417,0.06482905895,786.9977417,0.002292417688,786.9977417,0.002436791081,786.9977417,0.003536273493,786.9977417,0.02736674063,786.9977417,0.04033857211,786.9977417,0.01897002757,
785.9854126,0.06494327635,785.9854126,0.06494327635,785.9854126,0.001998613821,785.9854126,0.002881222172,785.9854126,0.002846592106,785.9854126,0.0270914901,785.9854126,0.040544305,785.9854126,0.01877902076,
785.0075073,0.06485220045,785.0075073,0.06485220045,785.0075073,0.001821579295,785.0075073,0.003103321418,785.0075073,0.003401865717,785.0075073,0.02759924345,785.0075073,0.04087562487,785.0075073,0.01911129057,
783.9943848,0.0651453957,783.9943848,0.0651453957,783.9943848,0.001335463254,783.9943848,0.002647724468,783.9943848,0.002661163686,783.9943848,0.02705088072,783.9943848,0.04058764502,783.9943848,0.01896069944,
783.0158081,0.06473968923,783.0158081,0.06473968923,783.0158081,0.002015855629,783.0158081,0.003206603229,783.0158081,0.003269690089,783.0158081,0.02752195857,783.0158081,0.04158876464,783.0158081,0.01944419369,
782.00177,0.06500544399,782.00177,0.06500544399,782.00177,0.001164175454,782.00177,0.003049721476,782.00177,0.003601914039,782.00177,0.027141748,782.00177,0.04130005464,782.00177,0.01879729331,
780.9874878,0.06468962878,780.9874878,0.06468962878,780.9874878,0.001784980181,780.9874878,0.003361167852,780.9874878,0.003589202883,780.9874878,0.02777838521,780.9874878,0.04157788306,780.9874878,0.0190702565,
780.0077515,0.06474016607,780.0077515,0.06474016607,780.0077515,0.001751788892,780.0077515,0.002301786095,780.0077515,0.003477844875,780.0077515,0.02761659399,780.0077515,0.04108462855,780.0077515,0.01946571469,
778.9926147,0.06486680359,778.9926147,0.06486680359,778.9926147,0.001456636121,778.9926147,0.002360082697,778.9926147,0.003113750136,778.9926147,0.02797259204,778.9926147,0.04116214812,778.9926147,0.01943285018,
778.012146,0.06479582191,778.012146,0.06479582191,778.012146,0.001121662557,778.012146,0.002658324782,778.012146,0.003371394239,778.012146,0.02807704732,778.012146,0.04108759016,778.012146,0.01931630075,
776.9962769,0.06462395936,776.9962769,0.06462395936,776.9962769,0.001575062866,776.9962769,0.002150381682,776.9962769,0.003352611326,776.9962769,0.02796690539,776.9962769,0.04088552296,776.9962769,0.01955002733,
776.0150146,0.06467268616,776.0150146,0.06467268616,776.0150146,0.001680398593,776.0150146,0.002023709705,776.0150146,0.003234533593,776.0150146,0.02784260549,776.0150146,0.0412722975,776.0150146,0.01950315945,
774.9983521,0.06469720602,774.9983521,0.06469720602,774.9983521,0.001702123787,774.9983521,0.001833277056,774.9983521,0.002891775686,774.9983521,0.02781580761,774.9983521,0.04108172655,774.9983521,0.0196220614,
774.0163574,0.06465250254,774.0163574,0.06465250254,774.0163574,0.001200722298,774.0163574,0.00142198964,774.0163574,0.002664184896,774.0163574,0.02779806219,774.0163574,0.04054509848,774.0163574,0.01980431005,
772.9989014,0.0645096451,772.9989014,0.0645096451,772.9989014,0.001488558017,772.9989014,0.002054528799,772.9989014,0.00286300783,772.9989014,0.0277853664,772.9989014,0.04115161672,772.9989014,0.02015656233,
772.0162354,0.06402089447,772.0162354,0.06402089447,772.0162354,0.001560903969,772.0162354,0.00225708005,772.0162354,0.003360463539,772.0162354,0.02814048342,772.0162354,0.04212132096,772.0162354,0.02014701813,
770.9979858,0.0640860498,770.9979858,0.0640860498,770.9979858,0.001627026009,770.9979858,0.002150433604,770.9979858,0.003166132374,770.9979858,0.02813562192,770.9979858,0.04198725894,770.9979858,0.02021326497,
770.0145264,0.06392742693,770.0145264,0.06392742693,770.0145264,0.001724889502,770.0145264,0.002234494546,770.0145264,0.003201883286,770.0145264,0.02841131389,770.0145264,0.04219822213,770.0145264,0.02009067684,
768.9955444,0.06418975443,768.9955444,0.06418975443,768.9955444,0.0009439733112,768.9955444,0.001893044799,768.9955444,0.002888492309,768.9955444,0.02806870639,768.9955444,0.04163015634,768.9955444,0.01947424375,
768.0112915,0.06434549391,768.0112915,0.06434549391,768.0112915,0.001370232785,768.0112915,0.001562410733,768.0112915,0.002660356229,768.0112915,0.02817144431,768.0112915,0.04093134403,768.0112915,0.01954713091,
766.9915771,0.06419098377,766.9915771,0.06419098377,766.9915771,0.001073133317,766.9915771,0.001220813952,766.9915771,0.002551241312,766.9915771,0.02815702558,766.9915771,0.04107970744,766.9915771,0.01961342245,
766.0066528,0.06374713033,766.0066528,0.06374713033,766.0066528,0.001983504975,766.0066528,0.00161382684,766.0066528,0.002903528512,766.0066528,0.02841711789,766.0066528,0.04177799076,766.0066528,0.02008476481,
764.986145,0.06382445246,764.986145,0.06382445246,764.986145,0.001653217827,764.986145,0.001671615406,764.986145,0.002971497364,764.986145,0.02895293199,764.986145,0.04116866365,764.986145,0.01984329894,
764.0004272,0.06357844174,764.0004272,0.06357844174,764.0004272,0.001778949983,764.0004272,0.001975131454,764.0004272,0.00278023188,764.0004272,0.02874105424,764.0004272,0.04157192633,764.0004272,0.01995218545,
763.0144043,0.06378364563,763.0144043,0.06378364563,763.0144043,0.001652620151,763.0144043,0.001474298071,763.0144043,0.002645484637,763.0144043,0.02890932374,763.0144043,0.04172318801,763.0144043,0.01953134499,
761.9927368,0.06350110471,761.9927368,0.06350110471,761.9927368,0.001809231937,761.9927368,0.001437416533,761.9927368,0.002418335062,761.9927368,0.0288787242,761.9927368,0.04197052121,761.9927368,0.02001913451,
761.0059814,0.06331867725,761.0059814,0.06331867725,761.0059814,0.001763562788,761.0059814,0.001355535234,761.0059814,0.00268726144,761.0059814,0.02884953842,761.0059814,0.0422263518,761.0059814,0.0201348979,
759.9835815,0.06327340007,759.9835815,0.06327340007,759.9835815,0.001684192684,759.9835815,0.001123193768,759.9835815,0.002699164907,759.9835815,0.02889446728,759.9835815,0.04261038452,759.9835815,0.01985221356,
758.9960938,0.06269367039,758.9960938,0.06269367039,758.9960938,0.002003086731,758.9960938,0.001556799281,758.9960938,0.003123970702,758.9960938,0.02917545848,758.9960938,0.04329546168,758.9960938,0.02060447261,
